dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,relative_mae,mean_abs_diff,sign_agreement,mean_sample_rho,relative_additivity_gap
diabetes_130,decision_tree,12,5,shapiq,kernel,512.0,shapiq / kernel,0.6276,512101.0,0.21170748347334006,0.005350517405990257,0.8666666666666667,0.9097902097902099,
diabetes_130,decision_tree,12,5,shapiq,kernel,2048.0,shapiq / kernel,1.3108,2048101.0,0.07304842541668288,0.001856507333044258,0.9416666666666667,0.9811188811188811,
diabetes_130,decision_tree,12,5,shapiq,permutation,128.0,shapiq / permutation,2.1464,123101.0,0.39613101290883984,0.009942766955266937,0.8828828828828829,0.8404230022785784,
diabetes_130,decision_tree,12,5,shapiq,permutation,512.0,shapiq / permutation,5.2031,508101.0,0.21564224693694645,0.005541683919944807,0.9152542372881356,0.9461538461538461,
diabetes_130,decision_tree,12,5,shapiq,permutation,2048.0,shapiq / permutation,17.5156,2048101.0,0.11290746956512294,0.0028701484895033193,0.9576271186440678,0.9910819243433991,
diabetes_130,decision_tree,12,5,lightshap,kernel,128.0,lightshap / kernel,3.0813,2816110.0,0.07257338500952489,0.0018412520217867834,0.9333333333333333,0.9825174825174827,
diabetes_130,decision_tree,12,5,lightshap,kernel,512.0,lightshap / kernel,11.7197,10729510.0,0.03937941572627222,0.000995419798269528,0.9416666666666667,0.990909090909091,
diabetes_130,decision_tree,12,5,lightshap,kernel,2048.0,lightshap / kernel,41.4182,37549710.0,0.023983873330560367,0.0006064866593919762,0.9583333333333334,0.990909090909091,
diabetes_130,decision_tree,12,5,lightshap,permutation,128.0,lightshap / permutation,2.997,2328110.0,0.06819796749487782,0.001718625992063502,0.9830508474576272,0.993006993006993,
diabetes_130,decision_tree,12,5,lightshap,permutation,512.0,lightshap / permutation,11.3712,8808110.0,0.0353440495938126,0.0008883800371674379,0.9661016949152542,0.9951048951048952,
diabetes_130,decision_tree,12,5,lightshap,permutation,2048.0,lightshap / permutation,39.7219,30751910.0,0.02115068122689337,0.0005340116842009978,0.9661016949152542,0.9972027972027974,
diabetes_130,decision_tree,12,5,dalex,permutation,128.0,dalex / permutation,0.9199,144111.0,0.46507585277525265,0.011528805916305897,0.9,0.8226031638805494,
diabetes_130,decision_tree,12,5,dalex,permutation,512.0,dalex / permutation,3.4933,560111.0,0.2303451754898441,0.005848878737541495,0.9396551724137931,0.9540055038210481,
diabetes_130,decision_tree,12,5,dalex,permutation,2048.0,dalex / permutation,13.9229,2224111.0,0.10877235039952382,0.002719743803954291,0.9491525423728814,0.9692307692307693,
diabetes_130,linear_regularized,12,5,shap,kernel,128.0,shap / kernel,0.0477,128110.0,0.02418952763988592,0.001628601978354438,1.0,0.9947475850404517,4.314442790529515e-16
diabetes_130,linear_regularized,12,5,shap,kernel,512.0,shap / kernel,0.1285,512110.0,0.020672858215068396,0.0013933519757900626,1.0,0.9982502173821434,2.4653958803025804e-16
diabetes_130,linear_regularized,12,5,shap,kernel,2048.0,shap / kernel,0.4919,2048110.0,0.019983500432839155,0.0013474775951515053,1.0,0.9982502173821434,3.081744850378225e-16
diabetes_130,linear_regularized,12,5,shap,permutation,128.0,shap / permutation,0.0551,111665.0,1.6273323037754158e-14,1.1041532994628585e-15,1.0,1.0,9.615043933180064e-15
diabetes_130,linear_regularized,12,5,shap,permutation,512.0,shap / permutation,0.1555,413391.0,1.455139607323126e-14,9.873196733558205e-16,1.0,1.0,9.615043933180064e-15
diabetes_130,linear_regularized,12,5,shap,permutation,2048.0,shap / permutation,0.5939,1640627.0,1.4083203236737933e-14,9.555525497019952e-16,1.0,1.0,9.676678830187629e-15
diabetes_130,linear_regularized,12,5,shapiq,kernel,128.0,shapiq / kernel,0.5086,128101.0,1.6304837570420784e-07,1.1062915962700017e-08,1.0,1.0,8.690520478066595e-15
diabetes_130,linear_regularized,12,5,shapiq,kernel,512.0,shapiq / kernel,0.6247,512101.0,2.82303919908183e-07,1.9154464477822376e-08,1.0,1.0,9.738313727195191e-15
diabetes_130,linear_regularized,12,5,shapiq,kernel,2048.0,shapiq / kernel,1.2395,2048101.0,4.230713212156115e-07,2.870560561865133e-08,1.0,1.0,9.183599654127112e-15
diabetes_130,linear_regularized,12,5,shapiq,permutation,128.0,shapiq / permutation,2.2798,123101.0,1.5775302216228254e-14,1.0703623317537268e-15,1.0,1.0,2.3421260862874517e-15
diabetes_130,linear_regularized,12,5,shapiq,permutation,512.0,shapiq / permutation,5.4956,508101.0,1.5456156092444535e-14,1.04870810386376e-15,1.0,1.0,2.3421260862874517e-15
diabetes_130,linear_regularized,12,5,shapiq,permutation,2048.0,shapiq / permutation,18.4037,2048101.0,1.5246867502820942e-14,1.0345077659096313e-15,1.0,1.0,3.020109953370661e-15
diabetes_130,linear_regularized,12,5,lightshap,kernel,128.0,lightshap / kernel,0.0498,44110.0,1.7263092814310232e-14,1.1713096855284212e-15,1.0,1.0,6.163489700756451e-17
diabetes_130,linear_regularized,12,5,lightshap,kernel,512.0,lightshap / kernel,0.0487,44110.0,1.7263092814310232e-14,1.1713096855284212e-15,1.0,1.0,6.163489700756451e-17
diabetes_130,linear_regularized,12,5,lightshap,kernel,2048.0,lightshap / kernel,0.0488,44110.0,1.7263092814310232e-14,1.1713096855284212e-15,1.0,1.0,6.163489700756451e-17
diabetes_130,linear_regularized,12,5,lightshap,permutation,128.0,lightshap / permutation,0.0688,60110.0,1.5739375473541712e-14,1.0679246838692554e-15,1.0,1.0,0.0
diabetes_130,linear_regularized,12,5,lightshap,permutation,512.0,lightshap / permutation,0.0686,60110.0,1.5739375473541712e-14,1.0679246838692554e-15,1.0,1.0,0.0
diabetes_130,linear_regularized,12,5,lightshap,permutation,2048.0,lightshap / permutation,0.0687,60110.0,1.5739375473541712e-14,1.0679246838692554e-15,1.0,1.0,0.0
diabetes_130,linear_regularized,12,5,dalex,permutation,128.0,dalex / permutation,0.8834,144111.0,1.6035471489248922e-14,1.088014950125412e-15,1.0,1.0,2.1572213952647576e-15
diabetes_130,linear_regularized,12,5,dalex,permutation,512.0,dalex / permutation,3.3469,560111.0,1.5860817984031444e-14,1.0761646203801452e-15,1.0,1.0,2.0955864982571933e-15
diabetes_130,linear_regularized,12,5,dalex,permutation,2048.0,dalex / permutation,13.3869,2224111.0,1.591425535185988e-14,1.079790373145299e-15,1.0,1.0,2.033951601249629e-15
