dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
bike,mlp,captum,gradient_shap,gpu,4,12,0.1666,0.0504091972961892,0.9902097902097904,0.060862380852073815,1.0,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,4,12,0.0486,1.47546496503445e-07,0.9902097902097904,0.060862380852073815,1.0,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,4,12,0.1684,0.0750872124768362,0.3020979020979021,1.2658020848239293,0.675,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,4,12,0.0492,1.4030959190831962,0.3020979020979021,1.2658020848239293,0.675,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,4,12,0.1514,0.0515566501186795,0.9958041958041959,0.0446421178961775,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,4,12,0.0508,9.726706339217253e-08,0.9958041958041959,0.0446421178961775,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,4,47,0.1099,0.2167545675891702,0.9671990974407697,0.3861867725124478,0.9575757575757575,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,4,47,0.0456,0.6042337435662837,0.9671990974407697,0.3861867725124478,0.9575757575757575,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,4,47,0.1307,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,4,47,0.1244,0.5899309197587919,0.7514874413633394,0.9330456682462134,0.7818181818181819,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,4,47,0.1169,0.1274051096270849,0.9658452585950954,0.16863510901881748,0.9818181818181818,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,4,47,0.0382,0.2075258659546765,0.9658452585950954,0.16863510901881748,0.9818181818181818,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,4,54,0.1177,0.0353657357034632,0.94734156711885,0.31367603145015577,0.9484848484848485,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,4,54,0.0471,0.2801546958512443,0.94734156711885,0.31367603145015577,0.9484848484848485,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,4,54,0.1381,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,4,54,0.1351,1.1946171759772508,0.3111399068637376,1.186123343548458,0.6454545454545455,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,4,54,0.11,0.1515500727465943,0.982659335248908,0.14229125403257467,0.9969604863221885,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,4,54,0.0339,0.2119819065449679,0.982659335248908,0.14229125403257467,0.9969604863221885,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,5,100,0.108,0.050653514269771,0.9887980798079807,1.082074157309289,0.959,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,5,100,0.0425,0.8559296630490595,0.9887980798079807,1.082074157309289,0.959,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,5,100,0.1129,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,5,100,0.136,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,5,100,0.1201,0.0853736405406187,0.9912115211521151,0.042481990970056394,0.999,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,5,100,0.0532,0.007906362167981,0.9912115211521151,0.042481990970056394,0.999,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,5,79,0.105,0.0485833476731604,0.9934514459665145,0.07316359305839024,0.9739726027397261,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,5,79,0.0376,2.7979513630670812e-08,0.9934514459665145,0.07316359305839024,0.9739726027397261,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,5,79,0.1516,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,5,79,0.2257,0.3646499707944025,0.7436200913242009,0.7868971990793348,0.7917808219178082,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,5,79,0.1094,0.0554387090892129,0.9969339421613395,0.05528714966304092,0.9904109589041096,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,5,79,0.0394,2.4962215443349866e-07,0.9969339421613395,0.05528714966304092,0.9904109589041096,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,5,12,0.1091,0.0380510417873476,0.9860139860139862,0.05537785017000435,0.9833333333333333,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,5,12,0.0374,6.299671347834098e-08,0.9860139860139862,0.05537785017000435,0.9833333333333333,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,5,12,0.1652,0.1141574821220558,0.425874125874126,1.1596763796811331,0.7166666666666667,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,5,12,0.0467,1.0991274827199526,0.425874125874126,1.1596763796811331,0.7166666666666667,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,5,12,0.1059,0.0506961961862551,0.9902097902097904,0.042930226794516364,0.9916666666666667,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,5,12,0.0447,2.1281002874354122e-07,0.9902097902097904,0.042930226794516364,0.9916666666666667,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,5,47,0.1095,0.2231815844936879,0.95,0.46896253905711854,0.9441176470588235,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,5,47,0.0425,0.7363837785192862,0.95,0.46896253905711854,0.9441176470588235,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,5,47,0.1158,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,5,47,0.109,1.6770268823617291,0.7719584219229861,0.9265056921965926,0.8205882352941176,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,5,47,0.109,0.1130024408709619,0.9751948972360029,0.18994985629164488,0.9705882352941176,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,5,47,0.0302,0.2422952164954704,0.9751948972360029,0.18994985629164488,0.9705882352941176,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,5,54,0.1224,0.0577194031942827,0.8500394037773059,0.4501351603577376,0.8828571428571429,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,5,54,0.0437,0.4891681003062951,0.8500394037773059,0.4501351603577376,0.8828571428571429,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,5,54,0.1178,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,5,54,0.1186,1.692914281447094,0.22372466176853764,1.1780079010476467,0.5413105413105413,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,5,54,0.1198,0.086807854750331,0.9661899041538142,0.2437589619703427,0.9857549857549858,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,5,54,0.0384,0.4927119522752753,0.9661899041538142,0.2437589619703427,0.9857549857549858,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,6,100,0.1193,0.0536337598553462,0.9906186618661866,0.5440268958996751,0.969,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,6,100,0.0471,0.7479505749186389,0.9906186618661866,0.5440268958996751,0.969,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,6,100,0.1049,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,6,100,0.1091,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,6,100,0.1155,0.0407137136092794,0.990041404140414,0.04658014031438586,0.998,captum / gradient_shap
