dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,cross_method_rho_mean,hit_time_cap,evals_missing
gisette,linear_regularized,14,0,lightshap,permutation,1024,lightshap / permutation,14.724,22556110.0,0.9977879296094043,False,False
gisette,linear_regularized,14,0,dalex,permutation,512,dalex / permutation,3.7921,556111.0,0.9974175363745482,False,False
gisette,linear_regularized,14,0,dalex,permutation,1024,dalex / permutation,7.3933,1096111.0,0.9977879296094043,False,False
gisette,gradient_boosting,14,0,shap,kernel,512,shap / kernel,0.3356,512110.0,0.974208286318292,False,False
gisette,gradient_boosting,14,0,shap,kernel,1024,shap / kernel,0.5928,1024110.0,0.9826902913964948,False,False
gisette,gradient_boosting,14,0,shap,permutation,512,shap / permutation,4.777,381994.0,0.9866294784099615,False,False
gisette,gradient_boosting,14,0,shap,permutation,1024,shap / permutation,0.9614,773060.0,0.9901598776795342,False,False
gisette,gradient_boosting,14,0,shapiq,kernel,512,shapiq / kernel,1.8651,512101.0,0.9813844252953218,False,False
gisette,gradient_boosting,14,0,shapiq,kernel,1024,shapiq / kernel,2.2649,1024101.0,0.9885416074781236,False,False
gisette,gradient_boosting,14,0,shapiq,permutation,512,shapiq / permutation,14.3729,509101.0,0.9799505331376279,False,False
gisette,gradient_boosting,14,0,shapiq,permutation,1024,shapiq / permutation,25.7268,1016101.0,0.9877028002173328,False,False
gisette,gradient_boosting,14,0,lightshap,kernel,512,lightshap / kernel,19.4444,13312110.0,0.9892017667111754,False,False
gisette,gradient_boosting,14,0,lightshap,kernel,1024,lightshap / kernel,39.1422,26624110.0,0.9933552858903142,False,False
gisette,gradient_boosting,14,0,lightshap,permutation,512,lightshap / permutation,18.0789,11292110.0,0.9891688202562454,False,False
gisette,gradient_boosting,14,0,lightshap,permutation,1024,lightshap / permutation,36.2768,22556110.0,0.9930235691263661,False,False
gisette,gradient_boosting,14,0,dalex,permutation,512,dalex / permutation,9.4596,556111.0,0.9828183174530154,False,False
gisette,gradient_boosting,14,0,dalex,permutation,1024,dalex / permutation,18.6016,1096111.0,0.9916653927630659,False,False
gisette,random_forest,64,0,shap,kernel,512,shap / kernel,1.2885,512110.0,0.5759074081814376,False,False
gisette,random_forest,64,0,shap,kernel,1024,shap / kernel,2.9789,1024110.0,0.5957295642270168,False,False
gisette,random_forest,64,0,shap,permutation,512,shap / permutation,5.2341,347762.0,0.8516273613338844,False,False
gisette,random_forest,64,0,shap,permutation,1024,shap / permutation,1.9337,739040.0,0.8770030994235719,False,False
gisette,random_forest,64,0,shapiq,kernel,512,shapiq / kernel,8.2098,512101.0,0.6539307270114567,False,False
gisette,random_forest,64,0,shapiq,kernel,1024,shapiq / kernel,9.7192,1024101.0,0.7012568127858249,False,False
gisette,random_forest,64,0,shapiq,permutation,512,shapiq / permutation,27.1194,506101.0,0.8490334281032784,False,False
gisette,random_forest,64,0,shapiq,permutation,1024,shapiq / permutation,40.4714,1010101.0,0.8723955185433251,False,False
gisette,random_forest,64,0,lightshap,kernel,512,lightshap / kernel,139.069,64512110.0,0.8592612580873912,False,False
gisette,random_forest,64,0,lightshap,kernel,1024,lightshap / kernel,276.8536,129024110.0,0.8818174096202634,False,False
